sample_id,cc.min.diff
LS-15531_S31_E1-50,0.803345304
LS-15531_S39_E1-50,0.157644393
LS-15531_S41_E1-50,0.5844943
LS-15531_S46_E1-50,0.666381456
LS-15531_S54_E1-50,0.329056889
LS-15531_S65_E1-50,0.003452723
LS-15531_S68_E1-50,0.153487422
LS-15531_S69_E1-50,0.349350603
LS-15531_S76_E1-50,0.414083374
LS-15531_S77_E1-50,0.048611929
LS-15535_S01_E1-50,0.463991946
LS-15535_S06_E1-50,0.599745159
LS-15535_S07_E1-50,0.326500297
LS-15535_S11_E1-50,0.725364391
LS-15535_S12_E1-50,0.629027409
LS-15535_S13_E1-50,0.196385036
LS-15535_S28_E1-50,0.585555953
LS-15535_S34_E1-50,0.57568019
LS-15535_S53_E1-50,0.454582761
LS-15535_S55_E1-50,0.24930335
LS-15535_S66_E1-50,0.815213935
LS-15535_S76_E1-50,0.445588496
LS-15535_S81_E1-50,0.312045963
LS-15536_S12_E1-50,0.303661332
LS-15536_S14_E1-50,0.3995732
LS-15536_S23_E1-50,0.460712228
LS-15536_S42_E1-50,0.372007456
LS-15536_S55_E1-50,0.631830232
LS-15536_S66_E1-50,0.83865206
LS-15536_S69_E1-50,0.609913249
LS-15536_S70_E1-50,0.537412896
LS-15536_S71_E1-50,0.462577548
LS-15536_S74_E1-50,0.577718673
LS-15536_S93_E1-50,0.611641002
LS-15537_S02_E1-50,0.682592946
LS-15537_S22_E1-50,0.406072798
LS-15537_S42_E1-50,0.437136396
LS-15537_S47_E1-50,0.276061457
LS-15537_S49_E1-50,0.486447507
LS-15537_S60_E1-50,0.088293566
LS-15537_S68_E1-50,0.598657873
LS-15537_S79_E1-50,0.781987546
LS-15537_S85_E1-50,0.86714693
LS-15537_S89_E1-50,0.853954366
LS-15537_S92_E1-50,0.337866636
LS-15537_S93_E1-50,0.401724705
LS-15537_S94_E1-50,0.580903682
LS-15540_S07_E1-50,0.440349882
LS-15540_S13_E1-50,0.358762338
LS-15540_S14_E1-50,0.551462043
LS-15540_S17_E1-50,0.46084823
LS-15540_S30_E1-50,0.377881386
LS-15540_S41_E1-50,0.077365576
LS-15540_S61_E1-50,0.469307406
LS-15540_S65_E1-50,0.822135622
LS-15540_S78_E1-50,0.141381691
LS-15540_S86_E1-50,0.651252772
LS-15540_S92_E1-50,0.487694998
LS-15540_S94_E1-50,0.154706183
LS-15547_S02_E1-50,0.599646917
LS-15547_S03_E1-50,0.59069352
LS-15547_S10_E1-50,0.425460953
LS-15547_S15_E1-50,0.467616044
LS-15547_S19_E1-50,0.273032753
LS-15547_S22_E1-50,0.630530406
LS-15547_S28_E1-50,0.606293569
LS-15547_S33_E1-50,0.235887507
LS-15547_S39_E1-50,0.512218005
LS-15547_S49_E1-50,0.59150369
LS-15547_S61_E1-50,0.299777112
LS-15547_S66_E1-50,0.412318671
LS-15547_S69_E1-50,0.642667578
LS-15547_S71_E1-50,0.619345032
LS-15547_S73_E1-50,0.560360562
LS-15547_S74_E1-50,0.479338932
LS-15547_S75_E1-50,0.598138653
LS-15547_S76_E1-50,0.208400209
LS-15547_S79_E1-50,0.304850361
LS-15547_S81_E1-50,0.249588329
LS-15547_S82_E1-50,0.046142282
LS-15547_S84_E1-50,0.505162662
LS-15548_S14_E1-50,0.566435092
LS-15548_S18_E1-50,0.075757762
LS-15548_S19_E1-50,0.6570713
LS-15548_S21_E1-50,0.277561643
LS-15548_S27_E1-50,0.572279807
LS-15548_S28_E1-50,0.516661501
LS-15548_S34_E1-50,0.87232051
LS-15548_S42_E1-50,0.18176166
LS-15548_S51_E1-50,0.374667297
LS-15548_S55_E1-50,0.507944632
LS-15548_S58_E1-50,0.470446173
LS-15548_S60_E1-50,0.436594018
LS-15548_S79_E1-50,0.181001737
LS-15548_S83_E1-50,0.637072859
LS-15548_S90_E1-50,0.533399757
LS-15548_S91_E1-50,0.580674686
LS-15548_S93_E1-50,0.853560506
LS-15548_S95_E1-50,0.592932823
LS-15549_S17_E1-50,0.433329876
LS-15549_S18_E1-50,0.629283206
LS-15549_S26_E1-50,0.456797714
LS-15549_S27_E1-50,0.536193663
LS-15549_S37_E1-50,0.613379048
LS-15549_S46_E1-50,0.251673946
LS-15549_S50_E1-50,0.511353817
LS-15549_S55_E1-50,0.344599226
LS-15549_S60_E1-50,0.572190524
LS-15549_S62_E1-50,0.589768017
LS-15549_S66_E1-50,0.572519038
LS-15549_S68_E1-50,0.648730687
LS-15549_S82_E1-50,0.63329093
LS-15549_S83_E1-50,0.666377911
LS-15549_S90_E1-50,0.389790693
LS-15559_S03_E1-50,0.05967144
LS-15559_S04_E1-50,0.400530783
LS-15559_S06_E1-50,0.531848691
LS-15559_S10_E1-50,0.729182088
LS-15559_S13_E1-50,0.829673024
LS-15559_S18_E1-50,0.3971753
LS-15559_S20_E1-50,0.593356333
LS-15559_S23_E1-50,0.619723989
LS-15559_S26_E1-50,0.594542161
